positive_score,negative_score,neutral_score
0.0,0.0,100.0
0.0,0.0,100.0
0.0,0.0,100.0
0.0,0.0,100.0
12.2,0.0,87.8
16.7,0.0,83.3
23.1,0.0,76.9
12.8,0.0,87.2
11.9,13.1,75.0
11.2,12.4,76.5
0.0,0.0,100.0
0.0,0.0,100.0
0.0,15.3,84.7
32.6,0.0,67.4
0.0,5.0,95.0
0.0,0.0,100.0
0.0,37.1,62.9
0.0,9.4,90.6
7.1,20.200000000000003,72.6
0.0,0.0,100.0
0.0,0.0,100.0
0.0,0.0,100.0
0.0,0.0,100.0
36.8,0.0,63.2
6.5,0.0,93.5
0.0,0.0,100.0
0.0,0.0,100.0
22.9,16.0,61.1
0.0,0.0,100.0
0.0,13.900000000000002,86.1
0.0,0.0,100.0
22.7,0.0,77.3
0.0,8.1,91.9
27.700000000000003,0.0,72.3
12.9,5.4,81.69999999999999
36.6,23.8,39.6
0.0,0.0,100.0
22.7,0.0,77.3
27.500000000000004,13.5,59.0
0.0,0.0,100.0
16.7,0.0,83.3
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,100.0
0.0,0.0,100.0
0.0,0.0,100.0
5.4,0.0,94.6
0.0,0.0,100.0
0.0,0.0,100.0
10.0,0.0,90.0
0.0,0.0,100.0
0.0,0.0,100.0
0.0,4.7,95.3
14.000000000000002,0.0,86.0
0.0,0.0,100.0
4.7,0.0,95.3
14.000000000000002,0.0,86.0
19.8,0.0,80.2
42.5,0.0,57.49999999999999
14.000000000000002,0.0,86.0
14.000000000000002,0.0,86.0
9.1,16.6,74.3
0.0,13.4,86.6
8.7,0.0,91.3
0.0,9.7,90.3
0.0,0.0,100.0
9.8,5.800000000000001,84.3
0.0,0.0,100.0
0.0,63.4,36.6
0.0,6.3,93.7
0.0,0.0,100.0
0.0,15.8,84.2
0.0,0.0,100.0
0.0,0.0,100.0
0.0,10.8,89.2
0.0,8.7,91.3
11.8,16.3,71.89999999999999
7.199999999999999,7.399999999999999,85.5
0.0,10.1,89.9
0.0,16.7,83.3
0.0,0.0,100.0
69.19999999999999,0.0,30.8
0.0,0.0,100.0
21.6,0.0,78.4
13.3,0.0,86.7
0.0,0.0,100.0
9.4,22.5,68.10000000000001
0.0,9.9,90.1
0.0,54.2,45.8
12.0,0.0,88.0
0.0,0.0,100.0
0.0,0.0,100.0
0.0,20.9,79.10000000000001
14.000000000000002,0.0,86.0
0.0,0.0,100.0
26.0,6.5,67.5
11.3,13.8,75.0
10.0,0.0,90.0
26.0,6.5,67.5
0.0,0.0,100.0
26.0,6.5,67.5
0.0,0.0,100.0
